CustomerID	TProd	DProd	MaxPO	MinPO	MeanProdOrder	TSale	MinPSale	MaxPSale	MeanSaleOrder	TRProd	MeanPSale	TOrder	SETSaleQta	SESaleQtaOrder
17850	1702	21	141	12	48.628571428571426	5317.8900000000085	6.36	107.25	151.93971428571427	8	3.9603703703703705	34	4.137478423679206	3.1864258740878237
13047	1355	105	309	3	84.6875	3089.1000000000013	6.64	68.0	193.06875000000002	23	3.9260818713450294	9	5.420968713262688	3.8750000000000004
12583	4978	114	714	100	292.8235294117647	6629.339999999994	6.8	132.8	389.9611764705882	3	2.1404741379310344	15	5.803909266717877	4.08746284125034
13748	439	24	208	8	87.8	948.2499999999998	9.36	204.0	189.64999999999998	0	3.9964285714285714	5	4.080050351464737	2.3219280948873626
15100	58	1	32	16	9.666666666666666	635.1	175.2	350.4	105.85000000000001	3	10.949999999999998	3	2.251629167387823	2.251629167387823
15291	2096	61	366	46	123.29411764705883	4604.900000000002	9.95	243.35999999999999	270.8764705882353	4	4.702254901960784	14	5.487928091982394	4.08746284125034
14688	3226	148	454	46	119.48148148148148	5099.579999999998	0.19	153.0	188.87333333333333	30	2.1364814814814816	21	6.702773481219952	4.754887502163469
17809	2017	46	1046	24	155.15384615384616	5345.910000000001	0.95	425.0	411.22384615384624	1	2.9057377049180326	12	5.631615665225584	3.700439718141093
15311	37688	567	2683	12	319.3898305084746	59344.12000000011	0.21	408.0	502.9162711864405	103	2.5102324598478445	91	7.023153580437131	6.848744744277093
14527	2082	329	96	1	24.08235294117647	7788.689999999953	0.39	87.6	91.63164705882349	3	5.865024875621891	55	6.335106439760385	6.385861524372994
16098	613	34	134	56	87.57142857142857	2005.6300000000003	3.75	178.20000000000002	286.5185714285714	0	4.424626865671642	7	4.927810645584782	2.807354922057605
18074	190	13	190	190	190.0	489.6	15.8	102.0	489.6	0	4.780769230769231	1	3.5465935642949393	0.0
17420	265	28	116	53	88.33333333333333	598.8300000000002	12.48	39.599999999999994	199.60999999999999	0	3.881333333333333	3	3.27925988149817	1.584962500721156
16029	33687	43	4800	24	467.1388888888889	60177.88999999998	30.599999999999998	2256.0	835.8040277777777	20	3.0916260162601623	62	5.794076150095985	6.031036112553425
16250	208	22	108	100	104.0	389.44000000000005	5.04	27.0	194.72	0	3.0883333333333334	2	3.886842188131012	1.0
12431	2839	162	374	28	157.72222222222223	6243.889999999999	5.04	601.44	346.88277777777785	4	3.675603448275862	15	5.76912606676913	4.169925001442313
17511	63048	453	4675	20	1401.0666666666666	88239.54	1.17	745.0	1960.8786666666663	85	2.3066251298027	31	6.9217862356216955	5.491853096329675
13705	363	25	134	103	121.0	711.8600000000001	7.800000000000001	165.0	237.28666666666666	0	7.6085714285714285	3	3.207046518229971	1.584962500721156
13747	8	1	8	8	8.0	79.6	79.6	79.6	79.6	0	9.95	1	0.0	0.0
13408	16131	234	662	4	206.71794871794873	27563.839999999982	0.39	306.0	353.38256410256395	13	3.116041237113402	62	6.502854595118051	6.259761193221227
13767	7258	55	902	4	139.57692307692307	16945.71000000001	10.08	532.8000000000001	325.87903846153847	31	3.713532608695652	37	5.488844699054636	5.57053803540718
17924	1151	26	552	48	115.1	2921.55	21.0	367.20000000000005	292.15500000000003	4	3.246451612903226	7	4.536286231168868	3.321928094887362
13448	1626	137	476	12	162.6	3460.990000000002	0.85	60.0	346.099	4	3.19659793814433	6	5.954952386464035	3.321928094887362
15862	585	142	235	86	146.25	832.88	0.42	40.56	208.21999999999997	0	2.7378911564625854	4	5.660937120783787	2.0
15513	5545	183	861	10	252.04545454545453	14520.079999999996	5.04	267.6	660.0036363636365	6	4.107370129870129	19	6.099076849437396	4.459431618637297
12791	96	1	96	96	96.0	177.60000000000002	177.60000000000002	177.60000000000002	177.60000000000002	0	1.85	1	0.0	0.0
16218	2077	56	572	80	259.625	3054.8700000000013	10.2	116.0	381.85875	6	1.6713095238095237	7	4.686193714888096	3.0
14045	535	4	212	48	133.75	1659.75	132.0	408.0	414.9375	0	4.233333333333333	4	2.584962500721156	2.0
14307	2058	150	558	24	343.0	2995.7200000000007	5.04	50.849999999999994	499.28666666666663	0	2.4864444444444445	6	5.14704491924732	2.584962500721156
17908	169	51	169	169	169.0	232.02999999999992	0.42	19.049999999999997	232.02999999999992	0	2.6622222222222223	1	4.5580506413654955	0.0
17920	2471	406	560	22	145.35294117647058	4107.599999999992	0.12	76.5	241.62352941176468	0	2.345632530120482	17	6.47151461471757	4.08746284125034
12838	355	115	228	127	177.5	671.9499999999995	0.42	35.400000000000006	335.9749999999999	0	2.305333333333333	2	5.6679881747718674	1.0
13255	174	13	110	67	58.0	390.65999999999997	14.95	90.0	130.22	1	4.96	2	3.664497779200461	1.584962500721156
16583	111	14	111	111	111.0	233.45000000000002	14.850000000000001	20.4	233.45000000000002	0	2.564285714285714	1	2.4956029237290127	0.0
18085	265	25	187	78	132.5	689.95	7.800000000000001	79.2	344.975	0	2.8448275862068964	2	3.645523772412739	1.0
13758	1844	104	832	108	263.42857142857144	3190.550000000001	0.42	102.0	455.79285714285714	0	3.287948717948718	7	5.561676630378862	2.807354922057605
